Police District,Year of Year Month,Proceedings
Not Specified (District),2022,3
Southern,2022,4785
Canterbury,2022,7368
Tasman,2022,3452
Wellington,2022,6254
Central,2022,6887
Eastern,2022,5777
Bay Of Plenty,2022,8810
Waikato,2022,6955
Counties/Manukau,2022,9290
Auckland City,2022,6502
Waitemata,2022,5938
Northland,2022,3597
Not Specified (District),2021,5
Southern,2021,7868
Canterbury,2021,11548
Tasman,2021,5490
Wellington,2021,10023
Central,2021,12263
Eastern,2021,9132
Bay Of Plenty,2021,14135
Waikato,2021,11388
Counties/Manukau,2021,13675
Auckland City,2021,9938
Waitemata,2021,8847
Northland,2021,6256
Not Specified (District),2020,3
Southern,2020,9396
Canterbury,2020,14163
Tasman,2020,6515
Wellington,2020,13264
Central,2020,15149
Eastern,2020,11066
Bay Of Plenty,2020,16403
Waikato,2020,13651
Counties/Manukau,2020,17960
Auckland City,2020,11500
Waitemata,2020,10404
Northland,2020,6815
PNHQ Licensing (District),2019,1
Not Specified (District),2019,2
Southern,2019,9656
Canterbury,2019,14577
Tasman,2019,6085
Wellington,2019,13172
Central,2019,14137
Eastern,2019,11168
Bay Of Plenty,2019,16579
Waikato,2019,13965
Counties/Manukau,2019,17767
Auckland City,2019,11910
Waitemata,2019,10799
Northland,2019,6676
Not Specified (District),2018,6
Southern,2018,7367
Canterbury,2018,10784
Tasman,2018,4588
Wellington,2018,9895
Central,2018,10865
Eastern,2018,8401
Bay Of Plenty,2018,12183
Waikato,2018,10307
Counties/Manukau,2018,15212
Auckland City,2018,9762
Waitemata,2018,8646
Northland,2018,5442
