Year,,Month,Agriculture,,Forestry and logging,,"Fishing, aquaculture and agriculture, forestry and fishing support services",,Mining,,"Food, beverage, and tobacco manufacturing",," Textile, leather, clothing, and footwear manufacturing",,Wood and paper products manufacturing,,Printing,,"Petroleum, chemical, polymer, and rubber product manufacturing",,Non-metallic mineral product manufacturing,, Metal product manufacturing,,"Transport equipment, machinery and equipment manufacturing",,Furniture and other manufacturing,,Manufacturing,,"Electricity, gas, water, and waste services",,Construction,,Wholesale trade,,Retail trade,,Accommodation and food services,,"Transport, postal, and warehousing",,Information media and telecommunications,,Financial and insurance services,,"Rental, hiring, and real estate services",,Ownership of owner-occupied dwellings,,"Professional, scientific, and technical services",,Administrative and support services,,Local government administration,,"Central government administration, defence, and public safety",,Education and training,,Health care and social assistance,,Arts and recreation services,,Other services,,Unallocated industries,,Gross domestic product,
1987,,Jun,"1,594",,120,,201,,536,,"1,161",,346,,363,,216,,746,,175,,542,,920,,185,,"4,536",,"1,126",,"1,565",,"1,557",,"1,180",,701,,941,,433,,"1,487",,"1,765",,"1,975",,"1,805",,485,,191,,"1,192",,"1,440",,"1,284",,319,,473,,"1,789",,"28,008",
,,Sep,"1,654",,136,,200,,452,,"1,109",,332,,372,,225,,710,,187,,533,,907,,188,,"4,432",,"1,110",,"1,633",,"1,515",,"1,169",,701,,972,,448,,"1,500",,"1,800",,"1,997",,"1,882",,503,,193,,"1,186",,"1,443",,"1,280",,328,,467,,"1,745",,"28,160",
,,Dec,"1,733",,134,,207,,647,,"1,095",,294,,380,,223,,681,,188,,538,,928,,189,,"4,371",,"1,113",,"1,641",,"1,437",,"1,170",,692,,"1,015",,450,,"1,501",,"1,767",,"1,998",,"1,890",,518,,198,,"1,179",,"1,448",,"1,283",,341,,472,,"1,844",,"28,290",
1988,,Mar,"1,767",,129,,201,,665,,"1,141",,302,,356,,213,,712,,175,,521,,883,,186,,"4,373",,"1,121",,"1,661",,"1,521",,"1,160",,672,,"1,041",,449,,"1,478",,"1,735",,"1,978",,"1,882",,521,,201,,"1,177",,"1,454",,"1,266",,342,,465,,"1,722",,"28,181",
,,Jun,"1,698",,149,,231,,624,,"1,189",,294,,367,,215,,711,,184,,545,,854,,177,,"4,432",,"1,085",,"1,538",,"1,467",,"1,138",,659,,"1,058",,451,,"1,442",,"1,762",,"1,946",,"1,936",,533,,206,,"1,170",,"1,462",,"1,315",,335,,450,,"1,704",,"28,047",
,,Sep,"1,630",,155,,241,,588,,"1,120",,297,,359,,218,,740,,169,,554,,881,,175,,"4,402",,"1,088",,"1,539",,"1,520",,"1,162",,657,,"1,068",,450,,"1,436",,"1,762",,"1,916",,"1,910",,531,,212,,"1,146",,"1,471",,"1,325",,317,,455,,"1,724",,"28,111",
,,Dec,"1,520",,159,,237,,437,,"1,110",,301,,340,,209,,744,,161,,538,,849,,169,,"4,323",,"1,128",,"1,507",,"1,592",,"1,158",,653,,"1,051",,451,,"1,462",,"1,780",,"1,888",,"1,901",,531,,217,,"1,143",,"1,481",,"1,339",,315,,450,,"1,754",,"27,865",
1989,,Mar,"1,469",,170,,246,,665,,"1,105",,298,,342,,209,,804,,163,,560,,874,,160,,"4,419",,"1,094",,"1,522",,"1,668",,"1,165",,647,,"1,028",,458,,"1,455",,"1,765",,"1,862",,"1,949",,544,,221,,"1,158",,"1,493",,"1,366",,334,,469,,"1,836",,"28,221",
,,Jun,"1,405",,168,,242,,481,,"1,068",,314,,351,,214,,806,,167,,563,,903,,169,,"4,439",,"1,133",,"1,636",,"1,669",,"1,227",,655,,"1,032",,475,,"1,400",,"1,809",,"1,840",,"1,967",,539,,228,,"1,161",,"1,507",,"1,322",,319,,473,,"1,895",,"28,384",
,,Sep,"1,410",,175,,246,,535,,"1,054",,304,,353,,201,,788,,153,,561,,867,,162,,"4,340",,"1,143",,"1,605",,"1,574",,"1,140",,657,,"1,013",,474,,"1,370",,"1,812",,"1,833",,"1,961",,529,,231,,"1,193",,"1,520",,"1,338",,317,,461,,"1,824",,"28,065",
,,Dec,"1,420",,174,,242,,448,,"1,078",,289,,356,,202,,794,,151,,562,,860,,164,,"4,361",,"1,101",,"1,602",,"1,617",,"1,143",,638,,"1,024",,478,,"1,370",,"1,812",,"1,837",,"1,912",,519,,233,,"1,179",,"1,531",,"1,352",,304,,450,,"1,835",,"28,011",
